"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_unaw-only_last_state"
"11/08/2021 15:57:19:433 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"270","1","0.5","1","1","0.2","0.2","1000","6599"
"288","1","0.1","1","1","0.4","0.2","1000","1572"
"275","1","1","1","1","0.2","0.2","1000","9990"
"262","1","0.8","1","1","0.1","0.2","1000","9967"
"279","1","0.3","1","1","0.3","0.2","1000","3007"
"263","1","0.9","1","1","0.1","0.2","1000","9978"
"271","1","0.6","1","1","0.2","0.2","1000","9390"
"264","1","1","1","1","0.1","0.2","1000","9989"
"274","1","0.9","1","1","0.2","0.2","1000","9952"
"280","1","0.4","1","1","0.3","0.2","1000","4097"
"291","1","0.4","1","1","0.4","0.2","1000","3843"
"290","1","0.3","1","1","0.4","0.2","1000","2750"
"272","1","0.7","1","1","0.2","0.2","1000","9955"
"281","1","0.5","1","1","0.3","0.2","1000","6155"
"285","1","0.9","1","1","0.3","0.2","1000","9968"
"282","1","0.6","1","1","0.3","0.2","1000","8293"
"292","1","0.5","1","1","0.4","0.2","1000","5137"
"283","1","0.7","1","1","0.3","0.2","1000","9912"
"284","1","0.8","1","1","0.3","0.2","1000","9982"
"298","1","0","1","1","0.5","0.2","1000","1104"
"299","1","0.1","1","1","0.5","0.2","1000","1301"
"293","1","0.6","1","1","0.4","0.2","1000","7524"
"286","1","1","1","1","0.3","0.2","1000","9988"
"310","1","0.1","1","1","0.6","0.2","1000","1089"
"300","1","0.2","1","1","0.5","0.2","1000","1917"
"295","1","0.8","1","1","0.4","0.2","1000","9947"
"294","1","0.7","1","1","0.4","0.2","1000","9964"
"296","1","0.9","1","1","0.4","0.2","1000","9965"
"321","1","0.1","1","1","0.7","0.2","1000","946"
"309","1","0","1","1","0.6","0.2","1000","850"
"302","1","0.4","1","1","0.5","0.2","1000","3090"
"297","1","1","1","1","0.4","0.2","1000","9988"
"312","1","0.3","1","1","0.6","0.2","1000","1890"
"322","1","0.2","1","1","0.7","0.2","1000","1146"
"324","1","0.4","1","1","0.7","0.2","1000","1883"
"301","1","0.3","1","1","0.5","0.2","1000","2275"
"313","1","0.4","1","1","0.6","0.2","1000","2428"
"307","1","0.9","1","1","0.5","0.2","1000","9962"
"303","1","0.5","1","1","0.5","0.2","1000","4297"
"304","1","0.6","1","1","0.5","0.2","1000","5901"
"320","1","0","1","1","0.7","0.2","1000","717"
"323","1","0.3","1","1","0.7","0.2","1000","1544"
"311","1","0.2","1","1","0.6","0.2","1000","1520"
"314","1","0.5","1","1","0.6","0.2","1000","3390"
"316","1","0.7","1","1","0.6","0.2","1000","6703"
"305","1","0.7","1","1","0.5","0.2","1000","9308"
"333","1","0.2","1","1","0.8","0.2","1000","825"
"336","1","0.5","1","1","0.8","0.2","1000","1863"
"315","1","0.6","1","1","0.6","0.2","1000","4753"
"306","1","0.8","1","1","0.5","0.2","1000","9961"
"308","1","1","1","1","0.5","0.2","1000","9987"
"331","1","0","1","1","0.8","0.2","1000","498"
"332","1","0.1","1","1","0.8","0.2","1000","679"
"325","1","0.5","1","1","0.7","0.2","1000","2674"
"326","1","0.6","1","1","0.7","0.2","1000","3551"
"327","1","0.7","1","1","0.7","0.2","1000","5017"
"319","1","1","1","1","0.6","0.2","1000","9984"
"330","1","1","1","1","0.7","0.2","1000","9984"
"334","1","0.3","1","1","0.8","0.2","1000","1123"
"335","1","0.4","1","1","0.8","0.2","1000","1392"
"317","1","0.8","1","1","0.6","0.2","1000","9866"
"328","1","0.8","1","1","0.7","0.2","1000","8056"
"350","1","0.8","1","1","0.9","0.2","1000","2624"
"342","1","0","1","1","0.9","0.2","1000","324"
"345","1","0.3","1","1","0.9","0.2","1000","641"
"318","1","0.9","1","1","0.6","0.2","1000","9968"
"337","1","0.6","1","1","0.8","0.2","1000","2511"
"343","1","0.1","1","1","0.9","0.2","1000","443"
"329","1","0.9","1","1","0.7","0.2","1000","9926"
"338","1","0.7","1","1","0.8","0.2","1000","3617"
"339","1","0.8","1","1","0.8","0.2","1000","4438"
"344","1","0.2","1","1","0.9","0.2","1000","653"
"347","1","0.5","1","1","0.9","0.2","1000","1124"
"355","1","0.2","1","1","1","0.2","1000","270"
"354","1","0.1","1","1","1","0.2","1000","183"
"348","1","0.6","1","1","0.9","0.2","1000","1485"
"346","1","0.4","1","1","0.9","0.2","1000","993"
"349","1","0.7","1","1","0.9","0.2","1000","1995"
"357","1","0.4","1","1","1","0.2","1000","394"
"360","1","0.7","1","1","1","0.2","1000","770"
"353","1","0","1","1","1","0.2","1000","170"
"341","1","1","1","1","0.8","0.2","1000","9514"
"356","1","0.3","1","1","1","0.2","1000","295"
"340","1","0.9","1","1","0.8","0.2","1000","6785"
"352","1","1","1","1","0.9","0.2","1000","4624"
"358","1","0.5","1","1","1","0.2","1000","578"
"359","1","0.6","1","1","1","0.2","1000","596"
"351","1","0.9","1","1","0.9","0.2","1000","3526"
"361","1","0.8","1","1","1","0.2","1000","1058"
"364","1","0","1","1","0","0.3","1000","1526"
"362","1","0.9","1","1","1","0.2","1000","1255"
"363","1","1","1","1","1","0.2","1000","1545"
"365","1","0.1","1","1","0","0.3","1000","2309"
"366","1","0.2","1","1","0","0.3","1000","2707"
"375","1","0","1","1","0.1","0.3","1000","1590"
"374","1","1","1","1","0","0.3","1000","9990"
"367","1","0.3","1","1","0","0.3","1000","4058"
"368","1","0.4","1","1","0","0.3","1000","5209"
"387","1","0.1","1","1","0.2","0.3","1000","1794"
"376","1","0.1","1","1","0.1","0.3","1000","2198"
"369","1","0.5","1","1","0","0.3","1000","8006"
"377","1","0.2","1","1","0.1","0.3","1000","2728"
"386","1","0","1","1","0.2","0.3","1000","1411"
"390","1","0.4","1","1","0.2","0.3","1000","4377"
"379","1","0.4","1","1","0.1","0.3","1000","4781"
"370","1","0.6","1","1","0","0.3","1000","9930"
"378","1","0.3","1","1","0.1","0.3","1000","3391"
"371","1","0.7","1","1","0","0.3","1000","9950"
"372","1","0.8","1","1","0","0.3","1000","9973"
"402","1","0.5","1","1","0.3","0.3","1000","5256"
"388","1","0.2","1","1","0.2","0.3","1000","2228"
"373","1","0.9","1","1","0","0.3","1000","9982"
"397","1","0","1","1","0.3","0.3","1000","1170"
"403","1","0.6","1","1","0.3","0.3","1000","7742"
"389","1","0.3","1","1","0.2","0.3","1000","3169"
"380","1","0.5","1","1","0.1","0.3","1000","6697"
"398","1","0.1","1","1","0.3","0.3","1000","1546"
"382","1","0.7","1","1","0.1","0.3","1000","9927"
"383","1","0.8","1","1","0.1","0.3","1000","9976"
"384","1","0.9","1","1","0.1","0.3","1000","9976"
"400","1","0.3","1","1","0.3","0.3","1000","2634"
"392","1","0.6","1","1","0.2","0.3","1000","9921"
"391","1","0.5","1","1","0.2","0.3","1000","6033"
"381","1","0.6","1","1","0.1","0.3","1000","9904"
"399","1","0.2","1","1","0.3","0.3","1000","2070"
"385","1","1","1","1","0.1","0.3","1000","9988"
"401","1","0.4","1","1","0.3","0.3","1000","3542"
"408","1","0","1","1","0.4","0.3","1000","1047"
"394","1","0.8","1","1","0.2","0.3","1000","9947"
