"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sampleCOPY.nlogo"
"fake_news-not_fake-only_over"
"10/28/2021 22:42:23:983 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","decay-aw","alpha-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"200","0.1","0.7","0.1","0","0","0","1000","1644"
"202","0.3","0.7","0.1","0","0","0","1000","1791"
"201","0.2","0.7","0.1","0","0","0","1000","1729"
"211","0.1","0.8","0.1","0","0","0","1000","1611"
"199","0","0.7","0.1","0","0","0","1000","1513"
"197","0.9","0.6","0.1","0","0","0","1000","5575"
"204","0.5","0.7","0.1","0","0","0","1000","1919"
"217","0.7","0.8","0.1","0","0","0","1000","2882"
"216","0.6","0.8","0.1","0","0","0","1000","2399"
"213","0.3","0.8","0.1","0","0","0","1000","1911"
"225","0.4","0.9","0.1","0","0","0","1000","1881"
"206","0.7","0.7","0.1","0","0","0","1000","3016"
"221","0","0.9","0.1","0","0","0","1000","1518"
"222","0.1","0.9","0.1","0","0","0","1000","1704"
"214","0.4","0.8","0.1","0","0","0","1000","1755"
"233","0.1","1","0.1","0","0","0","1000","1614"
"205","0.6","0.7","0.1","0","0","0","1000","2360"
"212","0.2","0.8","0.1","0","0","0","1000","1761"
"207","0.8","0.7","0.1","0","0","0","1000","4087"
"218","0.8","0.8","0.1","0","0","0","1000","4490"
"215","0.5","0.8","0.1","0","0","0","1000","2225"
"232","0","1","0.1","0","0","0","1000","1537"
"209","1","0.7","0.1","0","0","0","1000","9977"
"198","1","0.6","0.1","0","0","0","1000","9910"
"234","0.2","1","0.1","0","0","0","1000","1596"
"227","0.6","0.9","0.1","0","0","0","1000","2537"
"235","0.3","1","0.1","0","0","0","1000","1857"
"229","0.8","0.9","0.1","0","0","0","1000","5163"
"226","0.5","0.9","0.1","0","0","0","1000","2226"
