"BehaviorSpace results (NetLogo 6.1.1)"
"SEIRD-awareness-unawareness-updated-i_from_0-10000_more_rho_sample.nlogo"
"fake_news-dec_a-dec_u-perc_aw-only_last_state"
"11/19/2021 12:18:43:228 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-42","42","-42","42"
"[run number]","alpha-aw","decay-aw","%awareness-cte","alpha-unaw","decay-unaw","%unawareness-cte","[step]","count turtles with [ susceptible? ]"
"166","1","0","0.4","1","0.1","1","1000","1341"
"162","1","0.7","0.3","1","0.1","1","1000","3821"
"171","1","0.5","0.4","1","0.1","1","1000","2632"
"154","1","1","0.2","1","0.1","1","1000","9987"
"170","1","0.4","0.4","1","0.1","1","1000","2253"
"192","1","0.4","0.6","1","0.1","1","1000","2563"
"189","1","0.1","0.6","1","0.1","1","1000","1435"
"153","1","0.9","0.2","1","0.1","1","1000","9612"
"178","1","0.1","0.5","1","0.1","1","1000","1320"
"180","1","0.3","0.5","1","0.1","1","1000","1966"
"177","1","0","0.5","1","0.1","1","1000","1294"
"172","1","0.6","0.4","1","0.1","1","1000","3623"
"163","1","0.8","0.3","1","0.1","1","1000","6438"
"190","1","0.2","0.6","1","0.1","1","1000","1764"
"173","1","0.7","0.4","1","0.1","1","1000","5026"
"183","1","0.6","0.5","1","0.1","1","1000","4333"
"188","1","0","0.6","1","0.1","1","1000","1168"
"174","1","0.8","0.4","1","0.1","1","1000","8307"
"191","1","0.3","0.6","1","0.1","1","1000","2148"
"181","1","0.4","0.5","1","0.1","1","1000","2409"
"165","1","1","0.3","1","0.1","1","1000","9988"
"182","1","0.5","0.5","1","0.1","1","1000","3138"
"164","1","0.9","0.3","1","0.1","1","1000","9926"
"193","1","0.5","0.6","1","0.1","1","1000","3500"
"176","1","1","0.4","1","0.1","1","1000","9987"
"184","1","0.7","0.5","1","0.1","1","1000","6010"
"175","1","0.9","0.4","1","0.1","1","1000","9957"
"199","1","0","0.7","1","0.1","1","1000","1241"
"187","1","1","0.5","1","0.1","1","1000","9986"
"201","1","0.2","0.7","1","0.1","1","1000","1744"
"200","1","0.1","0.7","1","0.1","1","1000","1514"
"194","1","0.6","0.6","1","0.1","1","1000","5201"
"185","1","0.8","0.5","1","0.1","1","1000","9594"
"186","1","0.9","0.5","1","0.1","1","1000","9968"
"202","1","0.3","0.7","1","0.1","1","1000","2309"
"195","1","0.7","0.6","1","0.1","1","1000","6831"
"198","1","1","0.6","1","0.1","1","1000","9989"
"196","1","0.8","0.6","1","0.1","1","1000","9907"
"197","1","0.9","0.6","1","0.1","1","1000","9981"
"212","1","0.2","0.8","1","0.1","1","1000","1935"
"210","1","0","0.8","1","0.1","1","1000","1294"
"209","1","1","0.7","1","0.1","1","1000","9989"
"203","1","0.4","0.7","1","0.1","1","1000","2781"
"204","1","0.5","0.7","1","0.1","1","1000","3985"
"211","1","0.1","0.8","1","0.1","1","1000","1440"
"222","1","0.1","0.9","1","0.1","1","1000","1525"
"205","1","0.6","0.7","1","0.1","1","1000","5308"
"221","1","0","0.9","1","0.1","1","1000","1219"
"214","1","0.4","0.8","1","0.1","1","1000","3261"
"213","1","0.3","0.8","1","0.1","1","1000","2711"
"215","1","0.5","0.8","1","0.1","1","1000","4510"
"206","1","0.7","0.7","1","0.1","1","1000","8801"
"207","1","0.8","0.7","1","0.1","1","1000","9913"
"218","1","0.8","0.8","1","0.1","1","1000","9942"
"224","1","0.3","0.9","1","0.1","1","1000","2631"
"234","1","0.2","1","1","0.1","1","1000","2037"
"217","1","0.7","0.8","1","0.1","1","1000","9352"
"232","1","0","1","1","0.1","1","1000","1186"
"223","1","0.2","0.9","1","0.1","1","1000","1966"
"216","1","0.6","0.8","1","0.1","1","1000","6053"
"235","1","0.3","1","1","0.1","1","1000","2816"
"208","1","0.9","0.7","1","0.1","1","1000","9970"
"225","1","0.4","0.9","1","0.1","1","1000","3512"
"248","1","0.5","0","1","0.2","1","1000","982"
"239","1","0.7","1","1","0.1","1","1000","9862"
"233","1","0.1","1","1","0.1","1","1000","1614"
